year,level_1,level_2,level_3,value
2015,"$11,000 - $11,999","Total","Hougang",2.3
2015,"$11,000 - $11,999","Total","Jurong East",0.9
2015,"$11,000 - $11,999","Total","Jurong West",4.1
2015,"$11,000 - $11,999","Total","Kallang",1.5
2015,"$11,000 - $11,999","Total","Marine Parade",0.5
2015,"$11,000 - $11,999","Total","Novena",0.3
2015,"$11,000 - $11,999","Total","Outram",0.2
2015,"$11,000 - $11,999","Total","Pasir Ris",2.2
2015,"$11,000 - $11,999","Total","Punggol",1.7
2015,"$11,000 - $11,999","Total","Queenstown",1.1
2015,"$11,000 - $11,999","Total","Sembawang",1.2
2015,"$11,000 - $11,999","Total","Sengkang",3.4
2015,"$11,000 - $11,999","Total","Serangoon",1.5
2015,"$11,000 - $11,999","Total","Tampines",3.6
2015,"$11,000 - $11,999","Total","Tanglin",0.1
2015,"$11,000 - $11,999","Total","Toa Payoh",1.1
2015,"$11,000 - $11,999","Total","Woodlands",2.3
2015,"$11,000 - $11,999","Total","Yishun",2.8
2015,"$11,000 - $11,999","Total","Others",0.3
2015,"$12,000 - $12,999","Total","Ang Mo Kio",1.6
2015,"$12,000 - $12,999","Total","Bedok",3.3
2015,"$12,000 - $12,999","Total","Bishan",1.2
2015,"$12,000 - $12,999","Total","Bukit Batok",1.7
2015,"$12,000 - $12,999","Total","Bukit Merah",1.6
2015,"$12,000 - $12,999","Total","Bukit Panjang",1.8
2015,"$12,000 - $12,999","Total","Bukit Timah",0.7
2015,"$12,000 - $12,999","Total","Choa Chu Kang",1.6
2015,"$12,000 - $12,999","Total","Clementi",0.8
2015,"$12,000 - $12,999","Total","Geylang",0.7
2015,"$12,000 - $12,999","Total","Hougang",2.3
2015,"$12,000 - $12,999","Total","Jurong East",1.2
2015,"$12,000 - $12,999","Total","Jurong West",3.2
2015,"$12,000 - $12,999","Total","Kallang",1.3
2015,"$12,000 - $12,999","Total","Marine Parade",0.5
2015,"$12,000 - $12,999","Total","Novena",0.6
2015,"$12,000 - $12,999","Total","Outram",0.2
2015,"$12,000 - $12,999","Total","Pasir Ris",2.3
2015,"$12,000 - $12,999","Total","Punggol",2
2015,"$12,000 - $12,999","Total","Queenstown",1.2
2015,"$12,000 - $12,999","Total","Sembawang",0.9
2015,"$12,000 - $12,999","Total","Sengkang",3.4
2015,"$12,000 - $12,999","Total","Serangoon",1.3
2015,"$12,000 - $12,999","Total","Tampines",2.8
2015,"$12,000 - $12,999","Total","Tanglin",0.2
2015,"$12,000 - $12,999","Total","Toa Payoh",0.8
2015,"$12,000 - $12,999","Total","Woodlands",2.6
2015,"$12,000 - $12,999","Total","Yishun",1.9
2015,"$12,000 - $12,999","Total","Others",0.2
2015,"$13,000 - $13,999","Total","Ang Mo Kio",1.2
2015,"$13,000 - $13,999","Total","Bedok",2.6
2015,"$13,000 - $13,999","Total","Bishan",1.2
2015,"$13,000 - $13,999","Total","Bukit Batok",1
2015,"$13,000 - $13,999","Total","Bukit Merah",1.4
2015,"$13,000 - $13,999","Total","Bukit Panjang",1.8
2015,"$13,000 - $13,999","Total","Bukit Timah",0.4
2015,"$13,000 - $13,999","Total","Choa Chu Kang",2.1
2015,"$13,000 - $13,999","Total","Clementi",0.7
2015,"$13,000 - $13,999","Total","Geylang",0.7
2015,"$13,000 - $13,999","Total","Hougang",1.9
2015,"$13,000 - $13,999","Total","Jurong East",0.4
2015,"$13,000 - $13,999","Total","Jurong West",3.6
2015,"$13,000 - $13,999","Total","Kallang",1.1
2015,"$13,000 - $13,999","Total","Marine Parade",0.3
2015,"$13,000 - $13,999","Total","Novena",0.5
2015,"$13,000 - $13,999","Total","Outram",0.1
2015,"$13,000 - $13,999","Total","Pasir Ris",1
2015,"$13,000 - $13,999","Total","Punggol",1.8
2015,"$13,000 - $13,999","Total","Queenstown",0.8
2015,"$13,000 - $13,999","Total","Sembawang",1
2015,"$13,000 - $13,999","Total","Sengkang",2.3
2015,"$13,000 - $13,999","Total","Serangoon",1.3
2015,"$13,000 - $13,999","Total","Tampines",2.5
2015,"$13,000 - $13,999","Total","Tanglin",0
2015,"$13,000 - $13,999","Total","Toa Payoh",1.1
2015,"$13,000 - $13,999","Total","Woodlands",2
2015,"$13,000 - $13,999","Total","Yishun",1.7
2015,"$13,000 - $13,999","Total","Others",0.4
2015,"$14,000 - $14,999","Total","Ang Mo Kio",1.7
2015,"$14,000 - $14,999","Total","Bedok",2
2015,"$14,000 - $14,999","Total","Bishan",0.9
2015,"$14,000 - $14,999","Total","Bukit Batok",1.6
2015,"$14,000 - $14,999","Total","Bukit Merah",1.7
2015,"$14,000 - $14,999","Total","Bukit Panjang",1.2
2015,"$14,000 - $14,999","Total","Bukit Timah",0.5
2015,"$14,000 - $14,999","Total","Choa Chu Kang",2
2015,"$14,000 - $14,999","Total","Clementi",0.7
2015,"$14,000 - $14,999","Total","Geylang",1
2015,"$14,000 - $14,999","Total","Hougang",1.3
2015,"$14,000 - $14,999","Total","Jurong East",0.5
2015,"$14,000 - $14,999","Total","Jurong West",1.8
2015,"$14,000 - $14,999","Total","Kallang",0.6
2015,"$14,000 - $14,999","Total","Marine Parade",0.3
2015,"$14,000 - $14,999","Total","Novena",0.2
2015,"$14,000 - $14,999","Total","Outram",0
2015,"$14,000 - $14,999","Total","Pasir Ris",1.7
2015,"$14,000 - $14,999","Total","Punggol",1.7
2015,"$14,000 - $14,999","Total","Queenstown",1
2015,"$14,000 - $14,999","Total","Sembawang",0.8
2015,"$14,000 - $14,999","Total","Sengkang",2.1
2015,"$14,000 - $14,999","Total","Serangoon",0.7
2015,"$14,000 - $14,999","Total","Tampines",3
2015,"$14,000 - $14,999","Total","Tanglin",0.2
2015,"$14,000 - $14,999","Total","Toa Payoh",0.8
2015,"$14,000 - $14,999","Total","Woodlands",2.1
2015,"$14,000 - $14,999","Total","Yishun",1.2
2015,"$14,000 - $14,999","Total","Others",0.3
2015,"$15,000 - $17,499","Total","Ang Mo Kio",2.2
2015,"$15,000 - $17,499","Total","Bedok",4.2
2015,"$15,000 - $17,499","Total","Bishan",1.3
2015,"$15,000 - $17,499","Total","Bukit Batok",2.1
2015,"$15,000 - $17,499","Total","Bukit Merah",2.3
2015,"$15,000 - $17,499","Total","Bukit Panjang",2.2
2015,"$15,000 - $17,499","Total","Bukit Timah",1.2
2015,"$15,000 - $17,499","Total","Choa Chu Kang",3.7
2015,"$15,000 - $17,499","Total","Clementi",1.7
2015,"$15,000 - $17,499","Total","Geylang",2
2015,"$15,000 - $17,499","Total","Hougang",3.1
2015,"$15,000 - $17,499","Total","Jurong East",1.4
2015,"$15,000 - $17,499","Total","Jurong West",4.2
2015,"$15,000 - $17,499","Total","Kallang",1
2015,"$15,000 - $17,499","Total","Marine Parade",0.6
2015,"$15,000 - $17,499","Total","Novena",0.7
2015,"$15,000 - $17,499","Total","Outram",0.3
2015,"$15,000 - $17,499","Total","Pasir Ris",2.7
2015,"$15,000 - $17,499","Total","Punggol",3
2015,"$15,000 - $17,499","Total","Queenstown",1
